問合せNO,顧客NO,NO,表示順,確認手配事項,確認手配分類,受付日,受付営業所,受付担当,確認状況,確認手配事項内容,後方メモ
67368202,1041453304,1,,各地発着申込,AIR2,2026/1/9,西オペレーション課,野上　賢治,未確認,往路KIX時間帯：指定なし,
67368202,1041453304,1,,各地発着申込,AIR2,2026/1/9,西オペレーション課,野上　賢治,未確認,復路KIX時間帯：指定なし,
67368202,1041453304,1,,送付物に関するＲＱ,発送,2026/1/13,西統括HBOS用後方,辻井　美也子,未確認,※【送付先：不要】の為、処理なし,
67368202,1041453304,1,,病人、身体障害者,AIR,2026/1/13,西オペレーション課,松本　晃拓,未確認,☆☆ダミー記録です☆☆糖尿病のお伺い書返送あり・治療法：インシュリン療法・注射器を機内に持込するか→持ち込みする・注射器の入れ物の大きさ：縦10㎝×横20㎝×厚さ8㎝・持ち込みする注射器：往路3本、復路3本・持ち込みする注射針：往路20本、復路20本・注射器の容量：3ml・ペンシルタイプか？→はい・注射針の長さ：約0.4㎝・薬品名：アスパルト　容量：3ml、トレシーバ　容量：3ml血糖測定器具持ち込みあり・測定器のメーカー：アボットジャパン・機種名：フリースタイル　リブレ・利用電池：リチウム電池　電池の個数：2個　針の本数：20本・大きさ：縦9.5㎝×横6㎝×厚さ1.5㎝機内食について・糖尿病用特別機内食は「希望しない」→連絡メモ済み。2026/01/1314:22:05西オペレーション課松本　晃拓,
67368202,1041453304,1,,別問合せ番号同行ＧＲＰ有,AIR/LAND/JR,2026/1/13,西オペレーション課,松本　晃拓,未確認,☆☆ダミー記録です☆☆#67368244ﾊﾝｷｭｳﾊﾅｺ様#67368305　ﾊﾝｼﾝ　ｼﾞﾛｳ様と同ｸﾞﾙｰﾌﾟ部屋割り：1TWN+1SGL#67368202ﾊﾝｷｭｳタロウ様#67368244ﾊﾝｷｭｳﾊﾅｺ様がTWN,
67368202,1041453304,1,,入金予定の連絡,入金管理,2026/1/13,西オペレーション課,野上　賢治,未確認,☆☆ダミー記録です☆☆申込金２名分はＧＢ３０階来店予定#67368244ﾊﾝｷｭｳﾊﾅｺ様分,
67368202,1041453304,1,,領収書ＲＱ,入金管理,2026/1/13,西オペレーション課,野上　賢治,未確認,☆☆ダミー記録です☆☆#67368244ﾊﾝｷｭｳﾊﾅｺ様分との２名分,
67368202,1041453304,1,,パスポート№／発行年月日連絡,手続／査証,2026/1/13,西オペレーション課,小林　誠,未確認,（ダミー）【メール】有効期限正しいものへ訂正済み（上書き修正済）誤：有効期限　34-11-20正：有効期限　34-11-19,
67368202,1041453304,1,,その他,受付,2026/1/13,西オペレーション課,小林　誠,未確認,（ダミー）【メール】2025/11/2520:25ご連絡ありがとうございます。大変申し訳ありません。パスポートの有効期限を、誤って登録しておりました。正しくは、下記の通りです。・発行年月日：2024/11/19・有効期限　：2034/11/19どうぞよろしくお願い申し上げます。↓『下記内容にて返信済み』（17：30頃送信予定）ご連絡頂きました濵口　晋様のパスポートの有効期限を2034年11月19日へご変更致しました。ご連絡頂きました内容でお手配を進めさせて頂きます。ご対応頂きありがとうございました。何卒宜しくお願い致します。,
67368202,1041453304,1,,コンタクト中,受付,2026/1/13,西オペレーション課,小林　誠,未確認,（ダミー）P①PPT発行日・有効期限に相違ありTELするも不出。メール送信済み。CBあれば営業谷口まで内線PLZ。2025/11/2512:38:58西営業１課谷口　奈保→【メール】パスポートの有効期限を、誤って登録しておりました。正しくは、下記の通りです。・発行年月日：2024/11/19・有効期限　：2034/11/192025/11/2611:16:31大阪予約センター西村　日衣奈,
67368202,1041453304,1,,その他,受付,2026/1/13,西オペレーション課,小林　誠,未確認,（ダミー）P②より問あり残案３W前アナ日程表　ＷＥＢにてのご確認となる旨アナ済KIXまでPAX手配確認済,
67368202,1041453304,1,,カウンター来店予定,受付,2026/1/13,西オペレーション課,小林　誠,未確認,（ダミー）カウンター来店時PPT　食事のリクエストを言いたいとのことで来られます。↓現地でのイカ墨パスタを食べたいがどこがいいかとの問い合わせあり。添乗員が同行するのでそちらで聞いてくださいと案内,
67368202,1041453304,1,,ＰＵＳＨ,受付,2026/1/13,西オペレーション課,小林　誠,未確認,（ダミー）請求メール送信済　※11/28残,
67368202,1041453304,1,,旅行保険申込,手続,2026/1/13,西オペレーション課,小林　誠,未確認,（ダミー）保険申込　タイプ63※マイページ更新済みWEB完結用保険申込書預かり,
67368202,1041453304,1,,その他,受付,2026/1/13,西オペレーション課,小林　誠,未確認,"（ダミー）25-12-25,KIX,EK-0317,航空券番号：1766328822048,予約番号：HLADTD26-01-03,DXB,EK-0316,航空券番号：1766328822049,予約番号：HLADTD",
67368202,1041453304,1,,ＥＤ本人→依頼へ変更,手続,2026/1/14,西オペレーション課,野上　賢治,未確認,,
